iter	RMSE
210	0.6266576584
211	0.6263081308
212	0.6260132506
213	0.6257356311
214	0.6253957242
215	0.6251583784
216	0.6248786587
217	0.6245491988
218	0.6243040195
219	0.6240097585
220	0.6236005606
221	0.6232564009
222	0.6228963438
223	0.6225643769
224	0.6222636464
225	0.6219701658
226	0.6216749079
227	0.6214523543
228	0.6211466153
229	0.6208685639
230	0.6204891859
231	0.620175214
232	0.6199698426
233	0.6196464352
234	0.6194069998
235	0.6191392681
236	0.6189551137
237	0.6186903316
238	0.618283637
239	0.6179819389
240	0.6177463021
241	0.617459314
242	0.617182394
243	0.6168909181
244	0.6166341523
245	0.6163642673
246	0.6161228552
247	0.6159080242
248	0.615575994
249	0.6153122539
250	0.6151155066
251	0.6147977518
252	0.6145245844
253	0.614195545
254	0.614004434
255	0.6137164787
256	0.6134763436
257	0.6132115593
258	0.6129853771
259	0.6127781211
260	0.612559611
261	0.6123483507
262	0.6120679352
263	0.6118792909
264	0.6116231896
265	0.6114603392
266	0.6112831898
267	0.6110086997
268	0.6107988844
269	0.6105122582
270	0.6103224756
271	0.6100287236
272	0.6098337112
273	0.6096013364
274	0.6092705927
275	0.608984104
276	0.6087601375
277	0.6085462936
278	0.6083873284
279	0.6082275943
280	0.6080378579
281	0.6077502138
282	0.6075615287
283	0.6074172761
284	0.6071809417
285	0.6068439308
286	0.6066302611
287	0.6064101401
288	0.6062546146
289	0.6060409872
290	0.6058735971
291	0.6056041566
292	0.6054280343
293	0.6052128146
294	0.604986001
295	0.604726476
296	0.6045070374
297	0.6043024976
298	0.6040316762
299	0.6038648464
300	0.6035657868
301	0.6034321447
302	0.6032635679
303	0.6030981281
304	0.6029172561
305	0.6027311911
306	0.6025511124
307	0.602368133
308	0.6021721264
309	0.6019674999
310	0.6017595703
311	0.6016178343
312	0.6013999323
313	0.6011031196
314	0.6008328255
315	0.6006718543
316	0.6005335987
317	0.6002663366
318	0.6000773761
319	0.599859229
320	0.5996060858
321	0.5994962664
322	0.5992580417
323	0.5991441208
324	0.5989075084
325	0.5987663407
326	0.5985104059
327	0.5983444419
328	0.5981445464
329	0.5979700842
330	0.5977828739
331	0.5974620732
332	0.5972321285
333	0.5971146335
334	0.5968646521
335	0.5966315837
336	0.596472469
337	0.5963139332
338	0.5960962743
339	0.5959241866
340	0.5957573437
341	0.5956209167
342	0.5954188925
343	0.5952333645
344	0.595056423
345	0.5948465905
346	0.5947065916
347	0.5945790346
348	0.5943441089
349	0.5941189224
350	0.5938938654
351	0.5937437945
352	0.5934849452
353	0.5933396924
354	0.5931687528
355	0.5930279871
356	0.5928494582
357	0.5927213438
358	0.5926315476
359	0.5924318851
360	0.5922827296
361	0.5921240426
362	0.5920202859
363	0.5917869467
364	0.5916105998
365	0.591416163
366	0.5912765256
367	0.591119835
368	0.590945884
369	0.5908351168
370	0.590692815
371	0.5905438485
372	0.5904239096
373	0.5902733254
374	0.5900897449
375	0.5899017318
376	0.5897398571
377	0.5896197586
378	0.5895298341
379	0.589389918
380	0.5892585405
381	0.5891573869
382	0.5890472674
383	0.5888558537
384	0.5887140481
385	0.588572082
386	0.5884853292
387	0.5883440777
388	0.5882381901
389	0.5881033599
390	0.5879288199
391	0.5877587682
392	0.5876878006
393	0.587558796
394	0.5874447591
395	0.5873569169
396	0.5872361596
397	0.5871126147
398	0.5869803203
399	0.5867839622
400	0.5867026874
401	0.5865441964
402	0.5864429345
403	0.5862529199
404	0.5860796951
405	0.585885047
406	0.5857466853
407	0.5856006781
408	0.5854686151
409	0.5853624655
410	0.5852248133
411	0.5850852208
412	0.5849113152
413	0.5848032244
414	0.5847105151
415	0.5844655879
416	0.5843569442
417	0.5841771036
418	0.5840447764
419	0.5839019016
420	0.5837054831
421	0.5836042872
422	0.5833823726
423	0.5832706958
424	0.5830954441
425	0.5829549859
426	0.5827370957
427	0.5825365979
428	0.5823591635
429	0.5821590216
430	0.58201034
431	0.5818771379
432	0.5817155033
433	0.581589652
434	0.5814765646
435	0.5813359941
436	0.5811241465
437	0.5809813948
438	0.5808921544
439	0.5807392053
440	0.5805706565
441	0.5804204266
442	0.5803517203
443	0.5802887189
444	0.5801702585
445	0.5800488907
446	0.5799267094
447	0.5797307526
448	0.5795826146
449	0.5793583377
450	0.5791671823
451	0.579054041
452	0.5789040539
453	0.5786835212
454	0.5785886231
455	0.5784042432
456	0.5782340474
457	0.5781018626
458	0.5779175661
459	0.5778479867
460	0.5776784107
461	0.5775192784
462	0.5773086966
463	0.5771960885
464	0.577075661
465	0.5769390521
466	0.5768011804
467	0.5766269562
468	0.5764404154
469	0.5763807096
470	0.576223782
471	0.5760846094
472	0.5759486765
473	0.5758181624
474	0.5756968749
475	0.5755352563
476	0.5753739364
477	0.5751948127
478	0.5751197791
479	0.5749983746
480	0.574918386
481	0.5747226272
482	0.5745727095
483	0.5744446024
484	0.5742686633
485	0.5740690745
486	0.5739279028
487	0.5737740935
488	0.5736690298
489	0.5735528988
490	0.5734225017
491	0.5733436838
492	0.5731546566
493	0.5730391944
494	0.5728964109
495	0.5728079637
496	0.5727064946
497	0.5726316991
498	0.5724607005
499	0.5723697412
500	0.5722913821
501	0.5721661734
502	0.5721061798
503	0.5720154832
504	0.5718907002
505	0.5717487301
506	0.5716742464
507	0.5716014682
508	0.571482131
509	0.5713330294
510	0.5712347476
511	0.5710614519
512	0.5709408438
513	0.570879306
514	0.5707476262
515	0.5706693962
516	0.5705536218
517	0.570376298
518	0.5702376042
519	0.5700612284
520	0.5699757863
521	0.5698166434
522	0.5697453884
523	0.5696415532
524	0.5695491428
525	0.569451063
526	0.5692307305
527	0.5691004729
528	0.5689738772
529	0.5689073304
530	0.5687682667
531	0.5685476087
532	0.5684463618
533	0.5682866625
534	0.5681867993
535	0.5680220053
536	0.5678892413
537	0.5677451111
538	0.5676007563
539	0.5675331047
540	0.5674100894
541	0.5672873625
542	0.5670749777
543	0.5669813611
544	0.5668172471
545	0.5666682456
546	0.5665328027
547	0.566407572
548	0.5663277551
549	0.5661649269
550	0.565995632
551	0.5659260029
552	0.5657885543
553	0.5656169346
554	0.5653503845
555	0.5652146863
556	0.5651043723
557	0.5649303513
558	0.5648716986
559	0.5646982818
560	0.5646583424
561	0.5645287014
562	0.5643551443
563	0.5642479527
564	0.5641125816
565	0.5640169438
566	0.5638748554
567	0.5637694913
568	0.56366188
569	0.5635016089
570	0.5632798
571	0.5631139702
572	0.5629419164
573	0.562721036
574	0.5626386299
575	0.562488638
576	0.5624272826
577	0.5622604762
578	0.5620705554
579	0.5618867139
580	0.5617475656
581	0.5616135278
582	0.5614192509
583	0.5612063437
584	0.5611047601
585	0.5610451969
586	0.560934164
587	0.5608892085
588	0.5607264092
589	0.5606242243
590	0.5604470101
591	0.5603491915
592	0.5602933477
593	0.5602146039
594	0.5600823998
595	0.5599531043
596	0.559841855
597	0.559755551
598	0.5596220374
599	0.5594979849
600	0.5594156358
601	0.5592178127
602	0.5591047188
603	0.5589991649
604	0.5589000112
605	0.5587618688
606	0.5586355974
607	0.5585279033
608	0.5583610431
609	0.5582908579
610	0.5581890713
611	0.5581024261
612	0.5580158645
613	0.5578810447
614	0.5578345829
615	0.5577600271
616	0.5576917373
617	0.5575708313
618	0.5573776165
619	0.5572779522
620	0.5571081682
621	0.5569625287
622	0.556839453
623	0.5567629726
624	0.556569709
625	0.5565213978
626	0.5564246226
627	0.5563128728
628	0.5561907406
629	0.5561034737
630	0.5560162698
631	0.5558715465
632	0.5557866402
633	0.5556409049
634	0.5554445763
635	0.5553084922
636	0.5552215052
637	0.5550211689
638	0.5548750934
639	0.5547758352
640	0.5545744061
641	0.5544973145
642	0.5543377546
643	0.5542406686
644	0.554143991
645	0.554021238
646	0.5538681514
647	0.5538114223
648	0.5537149457
649	0.5536343709
650	0.5534666497
651	0.5534040782
652	0.5533041255
653	0.5531893941
654	0.5530479091
655	0.5529269596
656	0.5527592661
657	0.5526497037
658	0.5525530235
659	0.5523987116
660	0.5522677168
661	0.5521851186
662	0.5520347357
663	0.5519190189
664	0.5517280512
665	0.55158765
666	0.5515080857
667	0.5513912343
668	0.5512764123
669	0.5510946136
670	0.5509899318
671	0.5507845952
672	0.5506500101
673	0.5504701199
674	0.5503667351
675	0.5502111816
676	0.5500932978
677	0.5499914129
678	0.5498644025
679	0.5497248966
680	0.5495941891
681	0.5494341314
682	0.5493153186
683	0.5492182895
684	0.5491200372
685	0.5490392344
686	0.5489362427
687	0.5487365386
688	0.5486025645
689	0.5485143688
690	0.5484061087
691	0.5482746685
692	0.5481339377
693	0.5480440271
694	0.5478913728
695	0.5477462186
696	0.5476688914
697	0.5475722666
698	0.5474748174
699	0.5473947632
700	0.5471692213
701	0.5470686615
702	0.5468756591
703	0.5467608121
704	0.5466232498
705	0.5465190835
706	0.5463460722
707	0.5461991292
708	0.5461136524
709	0.5459979806
710	0.5457843053
711	0.5456692914
712	0.545553858
713	0.5454662845
714	0.5453416984
715	0.5452096803
716	0.5450807714
717	0.5449381516
718	0.5448432241
719	0.5447532747
720	0.5446167637
721	0.5445133272
722	0.5443706391
723	0.5442113638
724	0.5441153471
725	0.5439467726
726	0.5438269405
727	0.5437236196
728	0.5436187228
729	0.5434467362
730	0.5432940941
731	0.5432044376
732	0.5431125846
733	0.5429710862
734	0.5427996658
735	0.5426961509
736	0.5425709839
737	0.5424642205
738	0.5423745514
739	0.5422543884
740	0.5421613692
741	0.5420392817
742	0.5419667142
743	0.5417853263
744	0.5416177557
745	0.5414854269
746	0.5413063229
747	0.5412168188
748	0.5410833577
749	0.5409693041
750	0.5408453403
751	0.5407363638
752	0.540631898
753	0.5405158486
754	0.5404070064
755	0.5403003557
756	0.5401100825
757	0.5399818232
758	0.5398792318
759	0.5398064613
760	0.5396259929
761	0.5394952021
762	0.5393104931
763	0.5392224608
764	0.5390704518
765	0.5389616284
766	0.5388050726
767	0.5387092595
768	0.5386529683
769	0.5385666495
770	0.5384950858
771	0.5383622377
772	0.5382393884
773	0.5381160315
774	0.538006113
775	0.5378902832
776	0.5377659997
777	0.5377109505
778	0.5375927576
779	0.5374471145
780	0.537308638
781	0.5371996225
782	0.5370286069
783	0.5368945662
784	0.5368151758
785	0.5366958471
786	0.5365631839
787	0.5364872574
788	0.5363933028
789	0.5362686496
790	0.5361304551
791	0.5360187055
792	0.5358823512
793	0.5356593198
794	0.5355647608
795	0.5353702648
796	0.5352425991
797	0.5351031156
798	0.5349664494
799	0.5348207044
800	0.5347040671
801	0.5345714161
802	0.5343955648
803	0.5342719786
804	0.5341425012
805	0.5339748266
806	0.5338895364
807	0.5338109652
808	0.5336830423
809	0.5335326939
810	0.533380728
811	0.5333012805
812	0.5330868913
813	0.5329703953
814	0.5328209665
815	0.5327682201
816	0.5326987439
817	0.5326025308
818	0.5324287337
819	0.532351129
820	0.5322735471
821	0.5321194457
822	0.5319678272
823	0.5318179858
824	0.5317260938
825	0.5315412837
826	0.531398425
827	0.5313091499
828	0.5311791976
829	0.5310841519
830	0.5309792824
831	0.5307675041
832	0.530649779
833	0.5305254297
834	0.5303780408
835	0.5302952452
836	0.530213266
837	0.5301148969
838	0.5300125101
839	0.5299167316
840	0.529746416
841	0.5296097557
842	0.529483686
843	0.5293850273
844	0.5292619897
845	0.529123821
846	0.5290445428
847	0.5289612004
848	0.5288141347
849	0.5286950487
850	0.5285994594
851	0.5285161708
852	0.528389167
853	0.5282372333
854	0.5281665086
855	0.5280377237
856	0.5278947735
857	0.5278344133
858	0.5276513012
859	0.5274957575
860	0.5272857239
861	0.5272319322
862	0.5271470422
863	0.5269758948
864	0.5269147542
865	0.5268552004
866	0.5267460193
867	0.5266260644
868	0.5264478347
869	0.5263617524
870	0.5262734783
871	0.5261688275
872	0.5260587084
873	0.525895143
874	0.5257909344
875	0.5257152484
876	0.5255628544
877	0.5255038028
878	0.5253231571
879	0.5251948736
880	0.5250957542
881	0.5250297197
882	0.5248702043
883	0.5248148611
884	0.5247157491
885	0.524658601
886	0.5245783281
887	0.5244662721
888	0.5243587984
889	0.5242249013
890	0.5241825966
891	0.5240546887
892	0.5239911585
893	0.5238781918
894	0.5236847605
895	0.5235695115
896	0.5234246621
897	0.5232652534
898	0.5232231186
899	0.5231553754
900	0.523004543
901	0.5228194533
902	0.5226438985
903	0.5224992364
904	0.5223761188
905	0.5222653871
906	0.5221166196
907	0.5219951648
908	0.5218834896
909	0.5217168488
910	0.5216078995
911	0.5215231265
912	0.5214751908
913	0.5213893936
914	0.5212537229
915	0.5211467171
916	0.5209613593
917	0.5207928887
918	0.5206234149
919	0.5204983201
920	0.5203980294
921	0.5202966915
922	0.5201919301
923	0.5200994306
924	0.5199636915
925	0.51992353
926	0.5197035637
927	0.5196119449
928	0.5195241707
929	0.5194049624
930	0.5192829773
931	0.5191370121
932	0.5189857214
933	0.5188585694
934	0.5186336911
935	0.5185278888
936	0.5184058574
937	0.5183271917
938	0.5182074972
939	0.5181298547
940	0.5180259466
941	0.5179714602
942	0.5178150814
943	0.5177239441
944	0.5176349692
945	0.5175540214
946	0.5173576114
947	0.5172166056
948	0.5170627693
949	0.5169387566
950	0.5168624088
951	0.5167487203
952	0.5166164278
953	0.5165113695
954	0.5162961938
955	0.5161916857
956	0.5160545002
957	0.5159320537
958	0.5157712803
959	0.5156583545
960	0.5154969931
961	0.5153365603
962	0.5152265585
963	0.5150893525
964	0.5149764242
965	0.514866901
966	0.5148269324
967	0.5147136748
968	0.5146020807
969	0.5144912093
970	0.5142910516
971	0.5141685818
972	0.5140149331
973	0.5138850729
974	0.5137330502
975	0.5136393277
976	0.51349752
977	0.5132895027
978	0.5131404213
979	0.5130785391
980	0.5128940441
981	0.5127849953
982	0.5126559034
983	0.5125308469
984	0.5124154716
985	0.5122068972
986	0.5121024869
987	0.5120537997
988	0.5118359274
989	0.5117916762
990	0.5116224289
991	0.5115584782
992	0.5113842229
993	0.5112001854
994	0.5111015547
995	0.5110168306
996	0.5108016092
997	0.5107112833
998	0.5106298613
999	0.5104823258
